Organisation Name,Industry,Roles Within Company,Location,Jobs Page?,Jobs Page URL,Homepage,About Page,LinkedIn,Notes,Scrape Worthiness,Open to speculative apps,Email for CVs,,,,,
Registers of Scotland,Public Sector,Business Analyst; Developer; UX,Edinburgh; Glasgow,Y,https://www.ros.gov.uk/about/work-with-us,https://www.ros.gov.uk/,https://www.ros.gov.uk/about/what-we-do,,,2,Y,,,,,,
Relaymed,Health Tech,,Edinburgh,N,,https://relaymed.com/,https://info.relaymed.com/relaymed-prospectus,https://www.linkedin.com/company/relaymed/,Summary of what they do is available via download by signing up with your email #crafty,2,,,,,,,
Rennie Welch,Financial Services / Fintech,,Borders,,,,,,,,,,,,,,
Renovite,Financial Services / Fintech,DevOps,Fife,,,,,,,,,,,,,,
ResDiary,IT Services / Consultancy,Developer,Glasgow,,,,,,,,,,,,,,
Reshape Technology,Health Tech,Developer,Edinburgh,N,,https://www.reshapetechnology.com/,,,Contacting them involves signing up to their mailing list. Potentially Glasgow based?,3,Y,,,,,,
Robotical,Edtech,Developer,Edinburgh,N,,https://robotical.io/,https://robotical.io/page/about/,https://www.linkedin.com/company/robotical/,,,Y,,,,,,
Sabio,IT Services / Consultancy,Developer; Support,Glasgow,,,,,,,,,,,,,,
Sainsbury's Bank,Financial Services / Fintech,Developer; DevOps; Tester,Edinburgh,Y,https://sainsburys.taleo.net/careersection/mhr_prof_ext_cv/jobsearch.ftl?f=JOB_FIELD(1705024347)&a=null&multiline=false,https://www.sainsburysbank.co.uk/,https://www.sainsburysbank.co.uk/jobs/aboutus,,,2,,,,,,,
salesagility,IT Services / Consultancy,Business Analyst; Developer; Tester,Stirling,,,,,,,,,,,,,,
SAS,IT Services / Consultancy,Data Analyst; Developer,Glasgow,,,,,,,,,,,,,,
Schuh,FMCG,Developer,West Lothian,,,,,,,,,,,,,,
Scottish Book Trust,Third Sector,,Edinburgh,Y,https://www.scottishbooktrust.com/about/vacancies,https://www.scottishbooktrust.com/,https://www.scottishbooktrust.com/about,,,2,,,,,,,
Scottish Canals,Public Sector,,Glasgow,,,,,,,,,,,,,,
Scottish Friendly Assurance,Financial Services / Fintech,Developer,Glasgow,,,,,,,,,,,,,,
Scottish Government - Digital Directorate,Public Sector,Developer; FE Developer; Tester; UX,Edinburgh,Y,https://applications.work-for-scotland.org/pages/job_search_results.aspx?searchtype=all,,https://www.gov.scot/about/how-government-is-run/directorates/digital/,,"The link is All Vacancies in the Scottish Government for all 3 ""partners""",2,,,,,,,
Scottish Government - Directorate for Agriculture and Rural Economy,Public Sector,BI Developer; Developer; Tester,Edinburgh,Y,https://applications.work-for-scotland.org/pages/job_search_results.aspx?searchtype=all,,https://www.gov.scot/about/how-government-is-run/directorates/agriculture-rural-economy/,,"The link is All Vacancies in the Scottish Government for all 3 ""partners""",2,,,,,,,
Scottish Government - Disclosure Scotland,Public Sector,Developer,Glasgow,,,,,,,,,,,,,,
Scottish Government - Marine Scotland,Public Sector,Developer,Nationwide,,,,,,,,,,,,,,
Scottish Government - Social Security,Public Sector,Data Analyst; Data Engineer; Developer; DevOps; Tester,Edinburgh,Y,https://applications.work-for-scotland.org/pages/job_search_results.aspx?searchtype=all,,https://www.gov.scot/policies/social-security/,,"The link is All Vacancies in the Scottish Government for all 3 ""partners""",2,,,,,,,
Scottish National Party,Public Sector,,Edinburgh,Y,https://www.snp.org/jobs/,https://www.snp.org/,,,Made with Vue,03-Apr,,,,,,,
Scottish Natural Heritage,Public Sector,Developer,Inverness,,,,,,,,,,,,,,
Scottish Sea Farm,FMCG,,Stirling,,,,,,,,,,,,,,
ScotXed - Learning Directorate - Scottish Government,Public Sector,Developer,Edinburgh,N,,https://www.gov.scot/collections/scottish-exchange-of-data-scotxed/,,,found a website but doesn't look like a company?,,,,,,,,
Screenmedia,IT Services / Consultancy,Business Analyst; Developer; FE Developer; UX,Glasgow,,,,,,,,,,,,,,
SCVO,Third Sector,,Edinburgh; Glasgow,Y,https://scvo.org.uk/jobs,https://scvo.org.uk/,https://scvo.org.uk/about,https://www.linkedin.com/company/scvo/,"""Scottish Council for Voluntary Organisations""",2,,,,,,,
SEEMIS Group LLP,Public Sector,Developer; UX,Glasgow,,,,,,,,,,,,,,
SESTran,Public Sector,,Edinburgh,Y,https://sestran.gov.uk/info/vacancies/,https://sestran.gov.uk/,https://sestran.gov.uk/info/about-sestran/,https://www.linkedin.com/company/sestran/,,2,,,,,,,
Simul8,IT Services / Consultancy,Developer,Glasgow,,,,,,,,,,,,,,
Skills Development Scotland (SDS),Public Sector,Developer,Glasgow,,,,,,,,,,,,,,
SLG Technology,IT Services / Consultancy,Data Analyst; Developer,Glasgow,,,,,,,,,,,,,,
Software Advisory Service,IT Services / Consultancy,Data Analyst,Glasgow,,,,,,,,,,,,,,
Sopra Steria,IT Services / Consultancy,BI Developer; Data Analyst; Data Engineer; Data Scientist; MI Developer,Edinburgh,Y,https://careers.soprasteria.co.uk/uk/en,https://www.soprasteria.co.uk/,https://www.soprasteria.co.uk/about-us/our-business,,offices all over UK. Careers page is divided in categories and a search,3,,,,,,,
Spiritus Partners,Health Tech,BE Developer,Edinburgh,Y,https://www.spirituspartners.com/careers,https://www.spirituspartners.com/,https://www.spirituspartners.com/company,https://www.linkedin.com/company/spirituspartners/,,2,Y,,,,,,
Stampede (FKA BlackBX),Other,FE Developer,Edinburgh,Y,https://careers.smartrecruiters.com/Stampede,https://stampede.ai/,https://stampede.ai/company/,,,2,,,,,,,
Stellar Omada,IT Services / Consultancy,Developer; DevOps; Tester,Edinburgh,N,,https://www.stellaruk.co.uk/,,https://www.linkedin.com/company/stellar-omada/,they have an anti-slavery policy - interesting,,,,,,,,
Strathclyde Partnership for Transport (SPT),Public Sector,Developer,Glasgow,,,,,,,,,,,,,,
Student Awards Agency Scotland (SAAS),Public Sector,,Edinburgh,N,,https://www.saas.gov.uk/,https://www.saas.gov.uk/about-saas,,,,,,,,,,
STV,Media,,Glasgow,,,,,,,,,,,,,,
Sublime,IT Services / Consultancy,Developer; UX,Glasgow,,,,,,,,,,,,,,
Sumdog,Edtech,Developer; DevOps,Edinburgh,Y,https://pages.sumdog.com/about_sumdog/careers/,https://pages.sumdog.com/,https://pages.sumdog.com/about_sumdog/,,,2,,,,,,,
Sumerian / ITRS Group,IT Services / Consultancy,Developer; DevOps,Edinburgh,N,,https://www.itrsgroup.com/,https://www.itrsgroup.com/about,,,,,,,,,,
Swarm Online,IT Services / Consultancy,Developer,Edinburgh; Glasgow,Y,https://swarmonline.com/careers/,https://swarmonline.com/,https://swarmonline.com/about/,linkedin.com/company/swarm-online/,partnered with AWS,2,,,,,,,
Swipii,IT Services / Consultancy,Developer,Glasgow,,,,,,,,,,,,,,
Sword IT,IT Services / Consultancy,Business Analyst; Developer; Support,Glasgow; Aberdeen,,,,,,,,,,,,,,
Symphonic,IT Services / Consultancy,Developer; UX,Edinburgh,Y,https://symphonicsoft.com/company/#Careers,https://symphonicsoft.com/,https://symphonicsoft.com/company/,https://www.linkedin.com/company/symphonicsoft/,,2,Y,,,,,,
Tagdat,IT Services / Consultancy,Data Analyst; Developer,Glasgow,,,,,,,,,,,,,,
Teclan Ltd,Creative Industries,,Inverness,,,,,,,,,,,,,,
Tesco Bank,Financial Services / Fintech,Data Analyst; Developer; Tester,Edinburgh,Y,https://careers.tescobank.com/search-apply?location=1,https://www.tescobank.com/,https://careers.tescobank.com/about-us,https://www.linkedin.com/company/tesco-bank/,,1,,,,,,,
The Football Pools,IT Services / Consultancy,Data Analyst; Developer,Inverness,,,,,,,,,,,,,,
The Health & Social Care Alliance,Third Sector,FE Developer,Glasgow,,,,,,,,,,,,,,
The Improvement Service,Public Sector,Data Analyst; Developer,West Lothian,,,,,,,,,,,,,,
The Lane Agency,Creative Industries,,Edinburgh,N,,https://www.thelaneagency.com/,thelaneagency.com/about,https://www.linkedin.com/company/the-lane-agency/,,,,,,,,,
The List,Media,Developer,Edinburgh,N,,https://www.list.co.uk/,https://www.list.co.uk/about/,,,,,,,,,,
The Property Angel,Financial Services / Fintech,Data Analyst; Data Engineer,Edinburgh,N,,https://www.thepropertyangel.com/,https://www.thepropertyangel.com/about-property-angel/-about-the-property-angel-/,,,,,,,,,,
The Service Directory,IT Services / Consultancy,Developer,Glasgow,,,,,,,,,,,,,,
The Startup Race,Third Sector,,Edinburgh,N,,https://thestartuprace.com/,https://thestartuprace.com/about-the-startup-race/,,about us is cringe,,,,,,,,
The University of the Highlands and Islands (UHI),Education,Developer,Inverness,,,,,,,,,,,,,,
ThermaFY,IT Services / Consultancy,,Edinburgh; Borders,N,,https://thermafy.com/,https://thermafy.com/about-us/,,,,,,,,,,
thinkWhere Limited,IT Services / Consultancy,Developer; Tester,Stirling,,,,,,,,,,,,,,
Toolsoup,Creative Industries,Developer,Inverness,,,,,,,,,,,,,,
Toolstop,FMCG,Developer,Glasgow,,,,,,,,,,,,,,
Topolytics,IT Services / Consultancy,Data Analyst; Developer,Edinburgh,N,,https://topolytics.com/,https://topolytics.com/about/,https://www.linkedin.com/company/codbod-ltd/about/,at Codebase,,,,,,,,
Traveltek Ltd,Tourism and Travel,Developer; Support,Glasgow,,,,,,,,,,,,,,
Trisent,IT Services / Consultancy,Developer,Edinburgh,N,,https://trisent.com/,https://trisent.com/about-us/,https://www.linkedin.com/company/trisent/,,,,,,,,,
Trtl,Tourism and Travel,Developer,Glasgow,,,,,,,,,,,,,,
Tuminds Social Media Ltd,IT Services / Consultancy,Data Analyst; FE Developer; UX,Inverness,,,,,,,,,,,,,,
TVSquared,Creative Industries,Developer,Edinburgh,Y,https://tvsquared.com/about-us/careers/,https://tvsquared.com/,https://www-blue.tvsquared.com/about-us/,https://www.linkedin.com/company/tvsquared/,,2,,,,,,,
unifii,IT Services / Consultancy,Developer,Edinburgh,Y,https://unifii.co.uk/about/careers/,https://unifii.co.uk/,https://unifii.co.uk/about/,https://www.linkedin.com/company/unifii-ltd/,,2,Y,,,,,,
University of Edinburgh,Education,Developer; Support,Edinburgh,Y,https://www.ed.ac.uk/human-resources/jobs,https://www.ed.ac.uk/,https://www.ed.ac.uk/about,,vacancy search link https://www.vacancies.ed.ac.uk/pls/corehrrecruit/erq_search_version_4.search_form,3,,,,,,,
Urban Farming Co,FMCG,,Edinburgh,N,,http://www.urbanfarmingco.com/,,,website is an eyesore,3,,,,,,,
User Vision,Creative Industries,UX,Edinburgh,Y,https://uservision.co.uk/careers,https://uservision.co.uk/,,https://www.linkedin.com/company/user-vision/,,1,Y,,,,,,
Verint,IT Services / Consultancy,Developer; Tester,Glasgow,,,,,,,,,,,,,,
Vidatec (DOGFI.SH Mobile),IT Services / Consultancy,Developer,Stirling,,,,,,,,,,,,,,
Vistalworks,IT Services / Consultancy,Developer,Edinburgh; Glasgow,N,,https://vistalworks.com/,https://vistalworks.com/about-us,https://www.linkedin.com/company/vistalworks/,check out the scarf on Stephen Budd!,,,,,,,,
Visual Management Systems,IT Services / Consultancy,Developer,Glasgow,,,,,,,,,,,,,,
VizCareer,IT Services / Consultancy,,Glasgow,,,,,,,,,,,,,,
VKY Automation,IT Services / Consultancy,,Edinburgh,N,,https://vkyautomation.com/,,https://www.linkedin.com/company/vky-intelligent-automation/,Actually based in Glasgow. About is on the homepage,,,,,,,,
Voxsio,IT Services / Consultancy,FE Developer,Edinburgh,N,,https://www.voxsio.com/,https://www.voxsio.com/about,https://www.linkedin.com/company/voxsio/about/,small company,,,,,,,,
Wallet.Services,Financial Services / Fintech,Developer,Edinburgh,Y,https://www.wallet.services/careers,https://www.wallet.services/,https://www.wallet.services/about-us,,"No mention of any openings, just asking to send a CV",,Y,,,,,,
Whitespace,Creative Industries,Developer; Tester; UX,Edinburgh,Y,https://whitespacers.com/careers,https://whitespacers.com/,https://whitespacers.com/about,,,2,N,,,,,,
work-books.uk,Financial Services / Fintech,Application Support; Back End Developer; Cloud Engineer; DBA; Front End Developer; Test Analyst; UX,Edinburgh,N,,https://work-books.uk/,https://work-books.uk/news/what-is-work-books/,,Owner spoke at CodeClan #dubious,,,,,,,,
xDesign,IT Services / Consultancy,Developer,Edinburgh,Y,https://www.xdesign.com/careers/,https://www.xdesign.com/,https://www.xdesign.com/about/,,"""We accelerate your Software Development and Digital Transformation projects on Web and Mobile""",1,Y,,,,,,
Yellow Cherry Digital,Creative Industries,BE Developer; Developer; FE Developer,Inverness,,,,,,,,,,,,,,
Zonal Retail Data Systems Limited,Financial Services / Fintech,Developer; Product / Project Manager; Tester; UX,Edinburgh,N,https://careers.zonal.co.uk/,https://www.zonal.co.uk/,https://www.zonal.co.uk/about-us/,,careers link unavailable,,,,,,,,
ZoneFox,IT Services / Consultancy,,Edinburgh,N,slaaag,https://www.fintechscotland.com/fintech/zonefox/,,,Closed? link of the fintech page takes you to https://www.fortinet.com/products/ueba,4,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
